name,canonical_name,target_type
Sangam,"Sangam,Andhra Pradesh,India",Municipality
Gudlavalleru,"Gudlavalleru,Andhra Pradesh,India",Municipality
Manakondur,"Manakondur,Telangana,India",Municipality
Yadamari,"Yadamari,Andhra Pradesh,India",Municipality
Rajavommangi,"Rajavommangi,Andhra Pradesh,India",Municipality
Bastar,"Bastar,Chhattisgarh,India",Municipality
Ramanathapuram,"Ramanathapuram,Tamil Nadu,India",Municipality
Madhugiri,"Madhugiri,Karnataka,India",Municipality
Chandwad,"Chandwad,Maharashtra,India",Municipality
Kapashera,"Kapashera,Delhi,India",Municipality
Ichagarh,"Ichagarh,Jharkhand,India",Municipality
Nallacheruvu,"Nallacheruvu,Andhra Pradesh,India",Municipality
Husnabad,"Husnabad,Telangana,India",Municipality
Haveri,"Haveri,Karnataka,India",Municipality
Manantavadi,"Manantavadi,Kerala,India",Municipality
Barwadih,"Barwadih,Jharkhand,India",Municipality
Patan,"Patan,Jharkhand,India",Municipality
Rampurhat,"Rampurhat,West Bengal,India",Municipality
Wadhwan,"Wadhwan,Gujarat,India",Municipality
Jafra,"Jafra,Maharashtra,India",Municipality
Amrirgadh,"Amrirgadh,Gujarat,India",Municipality
Tarabganj,"Tarabganj,Uttar Pradesh,India",Municipality
Lohara,"Lohara,Maharashtra,India",Municipality
Chhatrapur,"Chhatrapur,Odisha,India",Municipality
Banjar,"Banjar,Himachal Pradesh,India",Municipality
Jagalur,"Jagalur,Karnataka,India",Municipality
Varikuntapadu,"Varikuntapadu,Andhra Pradesh,India",Municipality
Tadubi,"Tadubi,Manipur,India",Municipality
Maddikera,"Maddikera,Andhra Pradesh,India",Municipality
Udala,"Udala,Odisha,India",Municipality
Keshampet,"Keshampet,Telangana,India",Municipality
Kamudi,"Kamudi,Tamil Nadu,India",Municipality
Pithoragarh,"Pithoragarh,Uttarakhand,India",Municipality
Jagdishpur,"Jagdishpur,Patna Division,Bihar,India",Municipality
Malkangiri,"Malkangiri,Odisha,India",Municipality
Birangi Kothakota,"Birangi Kothakota,Andhra Pradesh,India",Municipality
Siruguppa,"Siruguppa,Karnataka,India",Municipality
Walajapet,"Walajapet,Tamil Nadu,India",Municipality
Talaja,"Talaja,Gujarat,India",Municipality
Koyyalagudem,"Koyyalagudem,Andhra Pradesh,India",Municipality
Chennur,"Chennur,Telangana,India",Municipality
Mauda,"Mauda,Maharashtra,India",Municipality
Sikandarabad,"Sikandarabad,Uttar Pradesh,India",Municipality
Samalkha,"Samalkha,Haryana,India",Municipality
Kumbhraj,"Kumbhraj,Madhya Pradesh,India",Municipality
Nawa,"Nawa,Rajasthan,India",Municipality
Tijara,"Tijara,Rajasthan,India",Municipality
Didihat,"Didihat,Uttarakhand,India",Municipality
Bilasipara Circle,"Bilasipara Circle,Assam,India",Municipality
Malavalli,"Malavalli,Karnataka,India",Municipality
Kandaghat,"Kandaghat,Himachal Pradesh,India",Municipality
Barhi,"Barhi,Jharkhand,India",Municipality
Rajgarh,"Rajgarh,Bikaner Division,Rajasthan,India",Municipality
Satpuli,"Satpuli,Uttarakhand,India",Municipality
Danagadi,"Danagadi,Odisha,India",Municipality
Valod,"Valod,Gujarat,India",Municipality
Amreli,"Amreli,Gujarat,India",Municipality
Kankrej,"Kankrej,Gujarat,India",Municipality
Satgawan,"Satgawan,Jharkhand,India",Municipality
Sidlaghatta,"Sidlaghatta,Karnataka,India",Municipality
Garadapur,"Garadapur,Odisha,India",Municipality
Kotananduru,"Kotananduru,Andhra Pradesh,India",Municipality
Bahadurgarh,"Bahadurgarh,Haryana,India",Municipality
Lephriparha,"Lephriparha,Odisha,India",Municipality
Hatgamhariya,"Hatgamhariya,Jharkhand,India",Municipality
Shahabad,"Shahabad,Telangana,India",Municipality
Coimbatore South,"Coimbatore South,Tamil Nadu,India",Municipality
Yadiki,"Yadiki,Andhra Pradesh,India",Municipality
Bokajan,"Bokajan,Assam,India",Municipality
Bawari,"Bawari,Rajasthan,India",Municipality
Kareli,"Kareli,Madhya Pradesh,India",Municipality
Sandur,"Sandur,Karnataka,India",Municipality
Pathankot,"Pathankot,Punjab,India",Municipality
Sarmathura,"Sarmathura,Rajasthan,India",Municipality
Khandwa,"Khandwa,Madhya Pradesh,India",Municipality
Kalyandurg,"Kalyandurg,Andhra Pradesh,India",Municipality
Sohagpur,"Sohagpur,Narmadapuram Division,Madhya Pradesh,India",Municipality
Nabarangapur,"Nabarangapur,Odisha,India",Municipality
Kalavad,"Kalavad,Gujarat,India",Municipality
Hathuwa,"Hathuwa,Bihar,India",Municipality
Majhaul,"Majhaul,Bihar,India",Municipality
Delanga,"Delanga,Odisha,India",Municipality
Santrampur,"Santrampur,Gujarat,India",Municipality
Madakasira,"Madakasira,Andhra Pradesh,India",Municipality
Jaypur,"Jaypur,Odisha,India",Municipality
Sompeta,"Sompeta,Andhra Pradesh,India",Municipality
Chamarajanagar,"Chamarajanagar,Karnataka,India",Municipality
Karawal Nagar,"Karawal Nagar,Delhi,India",Municipality
Tasgaon,"Tasgaon,Maharashtra,India",Municipality
Kadi,"Kadi,Gujarat,India",Municipality
Harur,"Harur,Tamil Nadu,India",Municipality
Madhavaram,"Madhavaram,Tamil Nadu,India",Municipality
Gyaraspur,"Gyaraspur,Madhya Pradesh,India",Municipality
Vidavalur,"Vidavalur,Andhra Pradesh,India",Municipality
Chas,"Chas,Jharkhand,India",Municipality
Katwa,"Katwa,West Bengal,India",Municipality
Lakhni,"Lakhni,Gujarat,India",Municipality
Amarapara,"Amarapara,Jharkhand,India",Municipality
Tirupati Rural,"Tirupati Rural,Andhra Pradesh,India",Municipality
Nallaballi,"Nallaballi,Telangana,India",Municipality
Goreshwar Circle,"Goreshwar Circle,Assam,India",Municipality
Pail,"Pail,Punjab,India",Municipality
Bhatkuli,"Bhatkuli,Maharashtra,India",Municipality
Panhala,"Panhala,Maharashtra,India",Municipality
Banda,"Banda,Uttar Pradesh,India",Municipality
Rajpur,"Rajpur,Surguja Division,Chhattisgarh,India",Municipality
Suliapada,"Suliapada,Odisha,India",Municipality
Tindivanam,"Tindivanam,Tamil Nadu,India",Municipality
Salon,"Salon,Uttar Pradesh,India",Municipality
Sadakarjini,"Sadakarjini,Maharashtra,India",Municipality
Boarijor,"Boarijor,Jharkhand,India",Municipality
Gannavaram,"Gannavaram,Andhra Pradesh,India",Municipality
Barasat,"Barasat,West Bengal,India",Municipality
Matanhale,"Matanhale,Haryana,India",Municipality
Nekkonda,"Nekkonda,Telangana,India",Municipality
Konch,"Konch,Uttar Pradesh,India",Municipality
Garhmuktesar,"Garhmuktesar,Uttar Pradesh,India",Municipality
Sambhal,"Sambhal,Uttar Pradesh,India",Municipality
Nandalur,"Nandalur,Andhra Pradesh,India",Municipality
Guntakal,"Guntakal,Andhra Pradesh,India",Municipality
Danda,"Danda,Jharkhand,India",Municipality
Bhudanpochampalli,"Bhudanpochampalli,Telangana,India",Municipality
Kailashahar,"Kailashahar,Tripura,India",Municipality
Joida,"Joida,Karnataka,India",Municipality
Nandivada,"Nandivada,Andhra Pradesh,India",Municipality
Visavadar,"Visavadar,Gujarat,India",Municipality
Bankura,"Bankura,West Bengal,India",Municipality
Dumri,"Dumri,North Chotanagpur Division,Jharkhand,India",Municipality
Lakhnadon,"Lakhnadon,Madhya Pradesh,India",Municipality
Sihunta,"Sihunta,Himachal Pradesh,India",Municipality
Shrivardhan,"Shrivardhan,Maharashtra,India",Municipality
Aland,"Aland,Karnataka,India",Municipality
Dhari,"Dhari,Gujarat,India",Municipality
Jadcherla,"Jadcherla,Telangana,India",Municipality
Maheshwaram,"Maheshwaram,Telangana,India",Municipality
Kolar,"Kolar,Karnataka,India",Municipality
Darbhanga,"Darbhanga,Bihar,India",Municipality
Begamganj,"Begamganj,Madhya Pradesh,India",Municipality
Phulpur,"Phulpur,Prayagraj Division,Uttar Pradesh,India",Municipality
Natavaram,"Natavaram,Andhra Pradesh,India",Municipality
Diamond Harbour,"Diamond Harbour,West Bengal,India",Municipality
Barahi,"Barahi,Madhya Pradesh,India",Municipality
Nagari,"Nagari,Andhra Pradesh,India",Municipality
Renigunta,"Renigunta,Andhra Pradesh,India",Municipality
Kanjhawala,"Kanjhawala,Delhi,India",Municipality
Renwal,"Renwal,Rajasthan,India",Municipality
Bandhogarh,"Bandhogarh,Madhya Pradesh,India",Municipality
Talbehat,"Talbehat,Uttar Pradesh,India",Municipality
Bhopalpatnam,"Bhopalpatnam,Chhattisgarh,India",Municipality
Saidpur,"Saidpur,Uttar Pradesh,India",Municipality
Palashbari Circle,"Palashbari Circle,Assam,India",Municipality
Amb,"Amb,Himachal Pradesh,India",Municipality
Mayiladuturai,"Mayiladuturai,Tamil Nadu,India",Municipality
Bah,"Bah,Uttar Pradesh,India",Municipality
Mauranipur,"Mauranipur,Uttar Pradesh,India",Municipality
Bodeli,"Bodeli,Gujarat,India",Municipality
Kanpur Nagar,"Kanpur Nagar,Uttar Pradesh,India",Municipality
Sonpur,"Sonpur,Bihar,India",Municipality
Peraiyur,"Peraiyur,Tamil Nadu,India",Municipality
Gaganbavda,"Gaganbavda,Maharashtra,India",Municipality
Bamanwas,"Bamanwas,Rajasthan,India",Municipality
Pathalgaon,"Pathalgaon,Chhattisgarh,India",Municipality
Mehidpur,"Mehidpur,Madhya Pradesh,India",Municipality
Seemapuri,"Seemapuri,Delhi,India",Municipality
Echcherla,"Echcherla,Andhra Pradesh,India",Municipality
Sulur,"Sulur,Tamil Nadu,India",Municipality
Nagareddipet,"Nagareddipet,Telangana,India",Municipality
Badnor,"Badnor,Rajasthan,India",Municipality
Bhikyasain,"Bhikyasain,Uttarakhand,India",Municipality
Nagaon Circle,"Nagaon Circle,Assam,India",Municipality
Berla,"Berla,Chhattisgarh,India",Municipality
Kawant,"Kawant,Gujarat,India",Municipality
Gurh,"Gurh,Madhya Pradesh,India",Municipality
Kotada Sangani,"Kotada Sangani,Gujarat,India",Municipality
Medikonduru,"Medikonduru,Andhra Pradesh,India",Municipality
Kakumanu,"Kakumanu,Andhra Pradesh,India",Municipality
Balianta,"Balianta,Odisha,India",Municipality
Bansur,"Bansur,Rajasthan,India",Municipality
Sardhana,"Sardhana,Uttar Pradesh,India",Municipality
Radhanpur,"Radhanpur,Gujarat,India",Municipality
Sultanpur Lodhi,"Sultanpur Lodhi,Punjab,India",Municipality
Chilakaluripet,"Chilakaluripet,Andhra Pradesh,India",Municipality
Chikhaldar,"Chikhaldar,Maharashtra,India",Municipality
Chotisadari,"Chotisadari,Rajasthan,India",Municipality
Mathabhanga,"Mathabhanga,West Bengal,India",Municipality
Ghagrapar Circle,"Ghagrapar Circle,Assam,India",Municipality
Noamundi,"Noamundi,Jharkhand,India",Municipality
Oupada,"Oupada,Odisha,India",Municipality
Kangti,"Kangti,Telangana,India",Municipality
Arni,"Arni,Maharashtra,India",Municipality
Kukshi,"Kukshi,Madhya Pradesh,India",Municipality
Pattikonda,"Pattikonda,Andhra Pradesh,India",Municipality
Vallabhnagar,"Vallabhnagar,Rajasthan,India",Municipality
Nemili,"Nemili,Tamil Nadu,India",Municipality
Phillaur,"Phillaur,Punjab,India",Municipality
Gubbi,"Gubbi,Karnataka,India",Municipality
Aruppukkottai,"Aruppukkottai,Tamil Nadu,India",Municipality
Mannar Gudi,"Mannar Gudi,Tamil Nadu,India",Municipality
Muruda,"Muruda,Odisha,India",Municipality
Halvad,"Halvad,Gujarat,India",Municipality
Mahuva,"Mahuva,Gujarat,India",Municipality
Mamit,"Mamit,Mizoram,India",Municipality
Bhongir,"Bhongir,Telangana,India",Municipality
Makri,"Makri,Chhattisgarh,India",Municipality
Sojat,"Sojat,Rajasthan,India",Municipality
Mat,"Mat,Uttar Pradesh,India",Municipality
Jamkhed,"Jamkhed,Maharashtra,India",Municipality
Tadimarri,"Tadimarri,Andhra Pradesh,India",Municipality
Sidli Circle,"Sidli Circle,Assam,India",Municipality
Halol,"Halol,Gujarat,India",Municipality
Katol,"Katol,Maharashtra,India",Municipality
Bishunpur,"Bishunpur,Jharkhand,India",Municipality
Kalwakurthi,"Kalwakurthi,Telangana,India",Municipality
Garhi,"Garhi,Rajasthan,India",Municipality
Belthangadi,"Belthangadi,Karnataka,India",Municipality
Gudibanda,"Gudibanda,Karnataka,India",Municipality
Kalghati,"Kalghati,Karnataka,India",Municipality
Vijaynagar,"Vijaynagar,Gujarat,India",Municipality
Garladinne,"Garladinne,Andhra Pradesh,India",Municipality
Torpa,"Torpa,Jharkhand,India",Municipality
Bhaniana,"Bhaniana,Rajasthan,India",Municipality
Bagha,"Bagha,Bihar,India",Municipality
West Phaileng,"West Phaileng,Mizoram,India",Municipality
Yadagirigutta,"Yadagirigutta,Telangana,India",Municipality
Dhanpur,"Dhanpur,Gujarat,India",Municipality
Sardarshar,"Sardarshar,Rajasthan,India",Municipality
Muttukuru,"Muttukuru,Andhra Pradesh,India",Municipality
Chandankari,"Chandankari,Jharkhand,India",Municipality
Alathur,"Alathur,Tamil Nadu,India",Municipality
Jodiya,"Jodiya,Gujarat,India",Municipality
Ponneri,"Ponneri,Tamil Nadu,India",Municipality
Wyra,"Wyra,Telangana,India",Municipality
Pellakur,"Pellakur,Andhra Pradesh,India",Municipality
Ambikapur,"Ambikapur,Chhattisgarh,India",Municipality
Purbi Tundi,"Purbi Tundi,Jharkhand,India",Municipality
Kawardha,"Kawardha,Chhattisgarh,India",Municipality
Kailaras,"Kailaras,Madhya Pradesh,India",Municipality
Alangudi,"Alangudi,Tamil Nadu,India",Municipality
Metpalli,"Metpalli,Telangana,India",Municipality
Terlam,"Terlam,Andhra Pradesh,India",Municipality
Aluva,"Aluva,Kerala,India",Municipality
Hagaribommanahalli,"Hagaribommanahalli,Karnataka,India",Municipality
Sedam,"Sedam,Karnataka,India",Municipality
Tyuni,"Tyuni,Uttarakhand,India",Municipality
Raybag,"Raybag,Karnataka,India",Municipality
Denkada,"Denkada,Andhra Pradesh,India",Municipality
Vadnagar,"Vadnagar,Gujarat,India",Municipality
Suigam,"Suigam,Gujarat,India",Municipality
Alapur,"Alapur,Uttar Pradesh,India",Municipality
Peterbar,"Peterbar,Jharkhand,India",Municipality
Sayampet,"Sayampet,Telangana,India",Municipality
Byadgi,"Byadgi,Karnataka,India",Municipality
Kondagaon,"Kondagaon,Chhattisgarh,India",Municipality
Dindigul East,"Dindigul East,Tamil Nadu,India",Municipality
Lapung,"Lapung,Jharkhand,India",Municipality
Karapa,"Karapa,Andhra Pradesh,India",Municipality
Bhogapuram,"Bhogapuram,Andhra Pradesh,India",Municipality
Kandukur,"Kandukur,Telangana,India",Municipality
Lakhisarai,"Lakhisarai,Bihar,India",Municipality
Patratu,"Patratu,North Chotanagpur Division,Jharkhand,India",Municipality
Hata,"Hata,Uttar Pradesh,India",Municipality
Motu,"Motu,Odisha,India",Municipality
Mahe,"Mahe,Puducherry,India",Municipality
Tiruvadanai,"Tiruvadanai,Tamil Nadu,India",Municipality
Venkatapur,"Venkatapur,Telangana,India",Municipality
Sampla,"Sampla,Haryana,India",Municipality
Talakondapalli,"Talakondapalli,Telangana,India",Municipality
Arki,"Arki,Himachal Pradesh,India",Municipality
Dharampuri,"Dharampuri,Madhya Pradesh,India",Municipality
Ersama,"Ersama,Odisha,India",Municipality
Nandipet,"Nandipet,Telangana,India",Municipality
Mudukulattur,"Mudukulattur,Tamil Nadu,India",Municipality
Rajgir,"Rajgir,Bihar,India",Municipality
Pachim Nalbari Circle,"Pachim Nalbari Circle,Assam,India",Municipality
Piriyapatna,"Piriyapatna,Karnataka,India",Municipality
Visakhapatnam Urban,"Visakhapatnam Urban,Andhra Pradesh,India",Municipality
Shri Naina Devi Ji,"Shri Naina Devi Ji,Himachal Pradesh,India",Municipality
Kannod,"Kannod,Madhya Pradesh,India",Municipality
Khurja,"Khurja,Uttar Pradesh,India",Municipality
Babai,"Babai,Madhya Pradesh,India",Municipality
Dabhoi,"Dabhoi,Gujarat,India",Municipality
Areraj,"Areraj,Bihar,India",Municipality
Balijipeta,"Balijipeta,Andhra Pradesh,India",Municipality
Peddavuru,"Peddavuru,Telangana,India",Municipality
Kundahit,"Kundahit,Jharkhand,India",Municipality
Rompicherla,"Rompicherla,Andhra Pradesh,India",Municipality
Dhanora,"Dhanora,Maharashtra,India",Municipality
Yaddanapudi,"Yaddanapudi,Andhra Pradesh,India",Municipality
Karahal,"Karahal,Madhya Pradesh,India",Municipality
Tilhar,"Tilhar,Uttar Pradesh,India",Municipality
Jhunjhunun,"Jhunjhunun,Rajasthan,India",Municipality
Mundlamuru,"Mundlamuru,Andhra Pradesh,India",Municipality
Khanapur,"Khanapur,Telangana,India",Municipality
Shoolagiri,"Shoolagiri,Tamil Nadu,India",Municipality
Chakradharpur,"Chakradharpur,Jharkhand,India",Municipality
Asansol,"Asansol,West Bengal,India",Municipality
Raisen,"Raisen,Madhya Pradesh,India",Municipality
Alandur,"Alandur,Tamil Nadu,India",Municipality
Jainagar,"Jainagar,Bihar,India",Municipality
Odgi,"Odgi,Chhattisgarh,India",Municipality
Kadaladi,"Kadaladi,Tamil Nadu,India",Municipality
Serwa,"Serwa,Rajasthan,India",Municipality
Shankarampet,"Shankarampet,Telangana,India",Municipality
Madukkarai,"Madukkarai,Tamil Nadu,India",Municipality
Kakching,"Kakching,Manipur,India",Municipality
Kalidindi,"Kalidindi,Andhra Pradesh,India",Municipality
Raghunathapur,"Raghunathapur,Odisha,India",Municipality
Chimur,"Chimur,Maharashtra,India",Municipality
Teghra,"Teghra,Munger Division,Bihar,India",Municipality
Mohana,"Mohana,Odisha,India",Municipality
Karamchedu,"Karamchedu,Andhra Pradesh,India",Municipality
Korisapadu,"Korisapadu,Andhra Pradesh,India",Municipality
Nidadavole,"Nidadavole,Andhra Pradesh,India",Municipality
Daund,"Daund,Pune Division,Maharashtra,India",Municipality
Banki,"Banki,Odisha,India",Municipality
Dharmkoti,"Dharmkoti,Punjab,India",Municipality
Chandel,"Chandel,Manipur,India",Municipality
Patna City,"Patna City,Bihar,India",Municipality
Albert Ekka (Jari),"Albert Ekka (Jari),Jharkhand,India",Municipality
Dalbhumgarh,"Dalbhumgarh,Jharkhand,India",Municipality
Sausar,"Sausar,Madhya Pradesh,India",Municipality
Khariar,"Khariar,Odisha,India",Municipality
Sadasivpet,"Sadasivpet,Telangana,India",Municipality
Gadhada,"Gadhada,Gujarat,India",Municipality
Nidamarru,"Nidamarru,Andhra Pradesh,India",Municipality
Kadirpur,"Kadirpur,Uttar Pradesh,India",Municipality
Atmakur,"Atmakur,Telangana,India",Municipality
Nainital,"Nainital,Uttarakhand,India",Municipality
Botad,"Botad,Gujarat,India",Municipality
Raxaul,"Raxaul,Bihar,India",Municipality
Kodad,"Kodad,Telangana,India",Municipality
Diyodar,"Diyodar,Gujarat,India",Municipality
Palojori,"Palojori,Jharkhand,India",Municipality
Kapasan,"Kapasan,Rajasthan,India",Municipality
Jawala Mukhi,"Jawala Mukhi,Himachal Pradesh,India",Municipality
Butchinayudukandriga,"Butchinayudukandriga,Andhra Pradesh,India",Municipality
Gangrar,"Gangrar,Rajasthan,India",Municipality
Virat Nagar,"Virat Nagar,Rajasthan,India",Municipality
Hassan,"Hassan,Karnataka,India",Municipality
Narkatiaganj,"Narkatiaganj,Bihar,India",Municipality
Keesara,"Keesara,Telangana,India",Municipality
Zarugumalli,"Zarugumalli,Andhra Pradesh,India",Municipality
Bhavara,"Bhavara,Madhya Pradesh,India",Municipality
Shahbad,"Shahbad,Uttar Pradesh,India",Municipality
Peddapalli,"Peddapalli,Telangana,India",Municipality
Bhilwara,"Bhilwara,Rajasthan,India",Municipality
Thondur,"Thondur,Andhra Pradesh,India",Municipality
Mettur,"Mettur,Tamil Nadu,India",Municipality
Nannilam,"Nannilam,Tamil Nadu,India",Municipality
Mahabubnagar,"Mahabubnagar,Telangana,India",Municipality
Adur,"Adur,Kerala,India",Municipality
Rupangarh,"Rupangarh,Rajasthan,India",Municipality
Bhimgal,"Bhimgal,Telangana,India",Municipality
Barara,"Barara,Haryana,India",Municipality
Takhatpur,"Takhatpur,Chhattisgarh,India",Municipality
Sahaswan,"Sahaswan,Uttar Pradesh,India",Municipality
Belur,"Belur,Karnataka,India",Municipality
Nagamangala,"Nagamangala,Karnataka,India",Municipality
Sabalgarh,"Sabalgarh,Madhya Pradesh,India",Municipality
Bilgi,"Bilgi,Karnataka,India",Municipality
Nimapada,"Nimapada,Odisha,India",Municipality
Thinghat,"Thinghat,Manipur,India",Municipality
Badnapur,"Badnapur,Maharashtra,India",Municipality
Kawnpui,"Kawnpui,Mizoram,India",Municipality
Pamarru,"Pamarru,Andhra Pradesh,India",Municipality
Changanasseri,"Changanasseri,Kerala,India",Municipality
Narwana,"Narwana,Haryana,India",Municipality
Huzurnagar,"Huzurnagar,Telangana,India",Municipality
Kushmanchi,"Kushmanchi,Telangana,India",Municipality
Talwandi Sabo,"Talwandi Sabo,Punjab,India",Municipality
Khatav,"Khatav,Maharashtra,India",Municipality
Guwahati Circle,"Guwahati Circle,Assam,India",Municipality
Paddhari,"Paddhari,Gujarat,India",Municipality
Bichhiya,"Bichhiya,Madhya Pradesh,India",Municipality
Yacharam,"Yacharam,Telangana,India",Municipality
Jansath,"Jansath,Uttar Pradesh,India",Municipality
Navipet,"Navipet,Telangana,India",Municipality
Danta Ramgarh,"Danta Ramgarh,Rajasthan,India",Municipality
Bharthna,"Bharthna,Uttar Pradesh,India",Municipality
Obulavaripalle,"Obulavaripalle,Andhra Pradesh,India",Municipality
Bhadravati,"Bhadravati,Maharashtra,India",Municipality
Bramhapuri,"Bramhapuri,Maharashtra,India",Municipality
Mandar,"Mandar,Jharkhand,India",Municipality
Ballia,"Ballia,Uttar Pradesh,India",Municipality
Tondiarpet,"Tondiarpet,Tamil Nadu,India",Municipality
Bishnupur,"Bishnupur,Manipur,India",Municipality
Rasagovindapur,"Rasagovindapur,Odisha,India",Municipality
Kesavapatnam,"Kesavapatnam,Telangana,India",Municipality
Nokha,"Nokha,Rajasthan,India",Municipality
Dornala,"Dornala,Andhra Pradesh,India",Municipality
Karhal,"Karhal,Uttar Pradesh,India",Municipality
Taoru,"Taoru,Haryana,India",Municipality
Pali,"Pali,Madhya Pradesh,India",Municipality
Payyannur,"Payyannur,Kerala,India",Municipality
Etah,"Etah,Uttar Pradesh,India",Municipality
Pipalkhunt,"Pipalkhunt,Rajasthan,India",Municipality
Konta,"Konta,Chhattisgarh,India",Municipality
Sarangpur,"Sarangpur,Madhya Pradesh,India",Municipality
Lalburra,"Lalburra,Madhya Pradesh,India",Municipality
Chail,"Chail,Uttar Pradesh,India",Municipality
Karimganj,"Karimganj,Uttar Pradesh,India",Municipality
Lansdowne,"Lansdowne,Uttarakhand,India",Municipality
Satlasana,"Satlasana,Gujarat,India",Municipality
Mainpat,"Mainpat,Chhattisgarh,India",Municipality
Palani,"Palani,Tamil Nadu,India",Municipality
Kasmar,"Kasmar,Jharkhand,India",Municipality
Penpahad,"Penpahad,Telangana,India",Municipality
Kotturu,"Kotturu,Andhra Pradesh,India",Municipality
Baheri,"Baheri,Uttar Pradesh,India",Municipality
Rajim,"Rajim,Chhattisgarh,India",Municipality
Kouthala,"Kouthala,Telangana,India",Municipality
Kochchi,"Kochchi,Kerala,India",Municipality
Bindranawagarh,"Bindranawagarh,Chhattisgarh,India",Municipality
Kanwas,"Kanwas,Rajasthan,India",Municipality
I Polavaram,"I Polavaram,Andhra Pradesh,India",Municipality
Bhavani,"Bhavani,Tamil Nadu,India",Municipality
Beawar,"Beawar,Ajmer Division,Rajasthan,India",Municipality
Chinna Ganjam,"Chinna Ganjam,Andhra Pradesh,India",Municipality
Jahanabad,"Jahanabad,Bihar,India",Municipality
Bishnpuri,"Bishnpuri,Jharkhand,India",Municipality
Manmangalam,"Manmangalam,Tamil Nadu,India",Municipality
Channarayapatna,"Channarayapatna,Karnataka,India",Municipality
Mylavaram,"Mylavaram,Andhra Pradesh,India",Municipality
Mariani Circle,"Mariani Circle,Assam,India",Municipality
Shankhavaram,"Shankhavaram,Andhra Pradesh,India",Municipality
Khed,"Khed,Konkan Division,Maharashtra,India",Municipality
Sonahatu,"Sonahatu,Jharkhand,India",Municipality
Ngopa,"Ngopa,Mizoram,India",Municipality
Saket,"Saket,Delhi,India",Municipality
Lormi,"Lormi,Chhattisgarh,India",Municipality
Belagal,"Belagal,Andhra Pradesh,India",Municipality
Punahana,"Punahana,Haryana,India",Municipality
Suar,"Suar,Uttar Pradesh,India",Municipality
Faizabad,"Faizabad,Uttar Pradesh,India",Municipality
Nagpur-Rural,"Nagpur-Rural,Maharashtra,India",Municipality
Kalwasrirampur,"Kalwasrirampur,Telangana,India",Municipality
Voletivaripalem,"Voletivaripalem,Andhra Pradesh,India",Municipality
Shirur,"Shirur,Pune Division,Maharashtra,India",Municipality
Tatijharia,"Tatijharia,Jharkhand,India",Municipality
Raidih,"Raidih,Jharkhand,India",Municipality
Pomburna,"Pomburna,Maharashtra,India",Municipality
Hathras,"Hathras,Uttar Pradesh,India",Municipality
Sheikhpura,"Sheikhpura,Bihar,India",Municipality
Guduru,"Guduru,Andhra Pradesh,India",Municipality
Fatehabad,"Fatehabad,Haryana,India",Municipality
Regod,"Regod,Telangana,India",Municipality
Malakhera,"Malakhera,Rajasthan,India",Municipality
Oddanchattram,"Oddanchattram,Tamil Nadu,India",Municipality
Kalluru,"Kalluru,Telangana,India",Municipality
Hunterganj,"Hunterganj,Jharkhand,India",Municipality
Erragondapalem,"Erragondapalem,Andhra Pradesh,India",Municipality
Yelerupadu,"Yelerupadu,Andhra Pradesh,India",Municipality
Jawad,"Jawad,Madhya Pradesh,India",Municipality
Kurai,"Kurai,Madhya Pradesh,India",Municipality
Khaknar,"Khaknar,Madhya Pradesh,India",Municipality
Dhandhuka,"Dhandhuka,Gujarat,India",Municipality
Rapur,"Rapur,Andhra Pradesh,India",Municipality
Warud,"Warud,Maharashtra,India",Municipality
Phirangipuram,"Phirangipuram,Andhra Pradesh,India",Municipality
Pakala,"Pakala,Andhra Pradesh,India",Municipality
Simaria,"Simaria,Jharkhand,India",Municipality
Hanmakonda,"Hanmakonda,Telangana,India",Municipality
Aghunato,"Aghunato,Nagaland,India",Municipality
Khatoli,"Khatoli,Uttar Pradesh,India",Municipality
Alattur,"Alattur,Kerala,India",Municipality
Arnod,"Arnod,Rajasthan,India",Municipality
Tinsukia Circle,"Tinsukia Circle,Assam,India",Municipality
Baseri,"Baseri,Rajasthan,India",Municipality
Peravurani,"Peravurani,Tamil Nadu,India",Municipality
Buttaigudem,"Buttaigudem,Andhra Pradesh,India",Municipality
Kamalpur,"Kamalpur,Tripura,India",Municipality
Barkot,"Barkot,Odisha,India",Municipality
Marwar Jun,"Marwar Jun,Rajasthan,India",Municipality
Balurghat,"Balurghat,West Bengal,India",Municipality
Sawai Madhopur,"Sawai Madhopur,Rajasthan,India",Municipality
Ranni,"Ranni,Kerala,India",Municipality
Channagiri,"Channagiri,Karnataka,India",Municipality
Utkur,"Utkur,Telangana,India",Municipality
Kanchanpur,"Kanchanpur,Tripura,India",Municipality
Morena,"Morena,Madhya Pradesh,India",Municipality
Sheohar,"Sheohar,Bihar,India",Municipality
Kalamb,"Kalamb,Aurangabad Division,Maharashtra,India",Municipality
Babra,"Babra,Gujarat,India",Municipality
Pallavaram,"Pallavaram,Tamil Nadu,India",Municipality
Gyanpur,"Gyanpur,Uttar Pradesh,India",Municipality
Dharampur,"Dharampur,Himachal Pradesh,India",Municipality
Manapparai,"Manapparai,Tamil Nadu,India",Municipality
Mansa,"Mansa,Punjab,India",Municipality
Yalburga,"Yalburga,Karnataka,India",Municipality
Pusad,"Pusad,Maharashtra,India",Municipality
Umri,"Umri,Maharashtra,India",Municipality
